resumeScore,interviewScore,skillsMatch,experienceYears,educationLevel,hired
42,38,32,0,High School,0
94,91,93,8,PhD,1
65,60,54,2,Bachelor,0
85,81,83,4,Master,1
46,42,36,0,Associate,0
88,85,87,5,Master,1
53,48,42,1,Bachelor,0
74,69,64,2,Bachelor,0
91,88,90,7,Master,1
58,53,47,1,Bachelor,0
82,77,79,3,Bachelor,1
40,36,31,0,High School,0
96,94,96,10,PhD,1
67,62,56,2,Associate,0
87,84,86,5,Master,1
49,44,38,0,Associate,0
84,80,82,4,Bachelor,1
56,51,45,1,Bachelor,0
93,90,92,8,PhD,1
62,57,52,2,Bachelor,0
89,86,88,6,Master,1
43,39,33,0,High School,0
80,76,78,3,Bachelor,1
54,49,43,1,Bachelor,0
95,93,95,9,PhD,1
68,63,57,2,Bachelor,0
86,82,84,4,Master,1
47,42,36,0,High School,0
90,87,89,7,Master,1
51,46,40,1,Associate,0
83,78,80,4,Bachelor,1
59,54,48,1,Bachelor,0
97,95,97,11,PhD,1
70,65,59,2,Bachelor,0
88,84,86,5,Master,1
44,40,34,0,High School,0
81,77,79,3,Bachelor,1
55,50,44,1,Bachelor,0
94,91,93,8,PhD,1
63,58,52,2,Bachelor,0
87,83,85,5,Bachelor,1
41,37,31,0,High School,0
79,74,76,3,Bachelor,1
52,47,41,1,Associate,0
92,89,91,7,PhD,1
66,61,55,2,Bachelor,0
85,81,83,4,Master,1
48,43,37,0,Associate,0
90,86,88,6,Master,1
57,52,46,1,Bachelor,0
76,71,67,3,Bachelor,1
39,35,29,0,High School,0
93,90,92,8,PhD,1
64,59,53,2,Bachelor,0
88,85,87,5,Master,1
45,41,35,0,High School,0
82,78,80,4,Bachelor,1
50,45,39,1,Associate,0
96,93,95,9,PhD,1
69,64,58,2,Bachelor,0
86,82,84,5,Master,1
42,38,32,0,High School,0
84,80,82,4,Bachelor,1
53,48,42,1,Bachelor,0
91,88,90,7,Master,1
61,56,50,2,Associate,0
78,73,74,3,Bachelor,1
46,41,35,0,High School,0
95,92,94,8,PhD,1
65,60,54,2,Bachelor,0
89,85,87,5,Master,1
40,36,30,0,High School,0
80,75,77,3,Bachelor,1
56,51,45,1,Bachelor,0
93,91,93,9,PhD,1
71,66,60,2,Bachelor,0
87,84,86,5,Bachelor,1
47,42,36,0,Associate,0
83,79,81,4,Master,1
58,53,47,1,Bachelor,0
75,70,66,3,Bachelor,1
43,38,32,0,High School,0
92,89,91,7,PhD,1
60,55,49,1,Bachelor,0
86,83,85,5,Master,1
49,44,38,0,Associate,0
81,76,78,3,Bachelor,1
54,49,43,1,Bachelor,0
97,94,96,10,PhD,1
67,62,56,2,Associate,0
88,85,87,6,Master,1
41,37,31,0,High School,0
84,80,82,4,Bachelor,1
52,47,41,1,Associate,0
90,87,89,6,Master,1
63,58,52,2,Bachelor,0
77,72,69,3,Bachelor,1
44,39,33,0,High School,0
94,91,93,8,PhD,1
66,61,55,2,Bachelor,0
